Origin,Destination,Distance,Time
3,81,892,156
3,82,195,33
3,83,1219,215
3,84,581,104
3,85,926,166
3,86,975,229
3,87,892,156
3,88,890,154
3,89,878,158
3,90,686,122
3,91,1466,317
3,92,134,24
3,93,541,94
3,94,1139,192
3,95,437,74
3,96,397,69
3,97,555,95
3,98,146,27
3,99,506,86
3,100,1694,367
3,101,465,80
3,102,333,59
3,103,410,72
3,104,364,65
3,105,384,68
3,106,586,99
3,107,778,142
3,108,196,35
3,109,318,54
3,110,318,54
3,111,673,118
3,112,863,153
3,113,427,72
3,114,286,52
3,115,599,105
3,116,263,44
3,117,171,29
3,118,715,130
3,119,418,73
3,120,258,43
3,121,479,86
3,122,531,91
3,123,1440,251
3,124,859,179
3,125,820,145
3,126,145,24
3,127,724,126
3,128,512,93
3,129,258,43
3,130,541,92
4,1,1039,181
4,2,417,70
4,3,417,70
4,5,993,166
4,6,993,166
4,7,272,49
4,8,636,110
4,9,490,88
4,10,560,93
4,11,560,93
4,12,707,122
4,13,437,78
4,14,610,101
4,15,272,49
4,16,495,84
4,17,1018,172
4,18,741,127
4,19,885,150
4,20,726,123
4,21,820,137
4,22,621,113
4,23,418,75
4,24,276,49
4,25,661,110
4,26,325,58
4,27,707,117
4,28,475,81
4,29,700,119
4,30,1089,186
4,31,294,52
4,32,976,164
4,33,871,146
4,34,635,106
4,35,635,112
4,36,1308,295
4,37,833,143
4,38,555,93
4,39,863,148
4,40,806,135
4,41,547,95
4,42,578,96
4,43,621,108
4,44,334,61
4,45,866,149
4,46,866,149
4,47,628,106
4,48,581,98
4,49,470,78
4,50,696,120
4,51,571,98
4,52,832,140
4,53,447,77
4,54,1925,382
4,55,183,31
4,56,953,163
4,57,581,101
4,58,742,129
4,59,734,127
4,60,1980,391
4,61,588,98
4,62,590,104
4,63,1018,172
4,64,501,84
4,65,849,146
4,66,849,146
4,67,581,97
4,68,828,139
4,69,527,94
4,70,557,93
4,71,876,221
4,72,319,57
4,73,722,125
4,74,495,88
4,75,644,108
4,76,757,126
4,77,1412,292
4,78,1412,292
4,79,595,100
4,80,1891,376
4,81,885,154
4,82,588,98
4,83,740,129
4,84,516,92
4,85,448,80
4,86,818,210
4,87,885,154
4,88,945,159
4,89,400,72
4,90,741,127
4,91,987,231
4,92,527,88
4,93,985,169
4,94,1194,197
4,95,830,139
4,96,790,134
4,97,948,160
4,98,564,97
4,99,899,151
4,100,1216,281
4,101,858,145
4,102,634,107
4,103,676,115
4,104,630,108
4,105,650,111
4,106,979,164
4,107,319,57
4,108,497,83
4,109,736,124
4,110,736,124
4,111,849,146
4,112,1038,181
4,113,820,137
4,114,221,40
4,115,775,133
4,116,656,109
4,117,564,94
4,118,650,118
4,119,811,137
4,120,651,108
4,121,414,74
4,122,924,156
4,123,860,145
4,124,680,145
4,125,996,173
4,126,538,89
4,127,1117,191
4,128,566,98
4,129,651,108
4,130,934,157
5,1,613,111
5,2,600,104
5,3,600,104
5,4,993,175
5,6,0,0
5,7,913,160
5,8,819,144
5,9,1569,278
5,10,433,74
5,11,433,74
5,12,1253,221
5,13,1078,189
5,14,793,136
5,15,913,160
5,16,678,118
5,17,91,17
5,18,1287,226
5,19,243,43
5,20,380,68
5,21,173,29
5,22,1262,224
5,23,1453,257
5,24,1336,238
5,25,690,122
5,26,1385,247
5,27,286,48
5,28,658,115
5,29,375,65
5,30,162,31
5,31,1354,241
5,32,16,3
5,33,164,28
5,34,904,160
5,35,1383,243
5,36,1986,418
5,37,407,73
5,38,509,90
5,39,437,78
5,40,1815,315
5,41,767,136
5,42,415,71
5,43,804,142
5,44,859,151
5,45,1945,339
5,46,1945,339
5,47,461,83
5,48,810,142
5,49,523,90
5,50,634,114
5,51,754,132
5,52,353,61
5,53,1290,229
5,54,2471,481
5,55,1217,216
5,56,1962,343
5,57,826,146
5,58,588,105
5,59,596,107
5,60,2526,490
5,61,448,78
5,62,1338,235
5,63,147,27
5,64,684,119
5,65,423,76
5,66,423,76
5,67,454,79
5,68,349,60
5,69,960,172
5,70,478,83
5,71,783,198
5,72,1379,246
5,73,608,109
5,74,1243,219
5,75,384,69
5,76,236,40
5,77,1958,391
5,78,1958,391
5,79,796,140
5,80,2437,475
5,81,642,114
5,82,405,69
5,83,1819,319
5,84,970,173
5,85,1526,270
5,86,725,187
5,87,642,114
5,88,1491,258
5,89,1478,262
5,90,1287,226
5,91,1665,372
5,92,710,123
5,93,267,48
5,94,1740,296
5,95,164,28
5,96,238,43
5,97,124,22
5,98,747,131
5,99,95,17
5,100,1894,404
5,101,170,30
5,102,429,75
5,103,1010,176
5,104,964,169
5,105,984,172
5,106,108,19
5,107,1379,246
5,108,537,94
5,109,919,158
5,110,919,158
5,111,423,76
5,112,613,111
5,113,173,29
5,114,862,151
5,115,349,63
5,116,337,57
5,117,429,74
5,118,1291,229
5,119,715,124
5,120,342,58
5,121,1055,185
5,122,100,18
5,123,2041,355
5,124,788,217
5,125,570,103
5,126,455,78
5,127,190,36
5,128,1112,197
5,129,342,58
5,130,110,19
6,1,613,111
6,2,600,104
6,3,600,104
6,4,993,175
6,5,0,0
6,7,913,160
6,8,819,144
6,9,1569,278
6,10,433,74
6,11,433,74
6,12,1253,221
6,13,1078,189
6,14,793,136
6,15,913,160
6,16,678,118
6,17,91,17
6,18,1287,226
6,19,243,43
6,20,380,68
6,21,173,29
6,22,1262,224
6,23,1453,257
6,24,1336,238
6,25,690,122
6,26,1385,247
6,27,286,48
6,28,658,115
6,29,375,65
6,30,162,31
6,31,1354,241
6,32,16,3
6,33,164,28
6,34,904,160
6,35,1383,243
6,36,1986,418
6,37,407,73
6,38,509,90
6,39,437,78
6,40,1815,315
6,41,767,136
6,42,415,71
6,43,804,142
6,44,859,151
6,45,1945,339
6,46,1945,339
6,47,461,83
6,48,810,142
6,49,523,90
6,50,634,114
6,51,754,132
6,52,353,61
6,53,1290,229
6,54,2471,481
6,55,1217,216
6,56,1962,343
6,57,826,146
6,58,588,105
6,59,596,107
6,60,2526,490
6,61,448,78
6,62,1338,235
6,63,147,27
6,64,684,119
6,65,423,76
6,66,423,76
6,67,454,79
6,68,349,60
6,69,960,172
6,70,478,83
6,71,783,198
6,72,1379,246
6,73,608,109
6,74,1243,219
6,75,384,69
6,76,236,40
6,77,1958,391
6,78,1958,391
6,79,796,140
6,80,2437,475
6,81,642,114
6,82,405,69
6,83,1819,319
6,84,970,173
6,85,1526,270
6,86,725,187
6,87,642,114
6,88,1491,258
6,89,1478,262
6,90,1287,226
6,91,1665,372
6,92,710,123
6,93,267,48
6,94,1740,296
6,95,164,28
6,96,238,43
6,97,124,22
6,98,747,131
6,99,95,17
6,100,1894,404
6,101,170,30
6,102,429,75
6,103,1010,176
6,104,964,169
6,105,984,172
6,106,108,19
6,107,1379,246
6,108,537,94
6,109,919,158
6,110,919,158
6,111,423,76
6,112,613,111
6,113,173,29
6,114,862,151
6,115,349,63
6,116,337,57
6,117,429,74
6,118,1291,229
6,119,715,124
6,120,342,58
6,121,1055,185
6,122,100,18
6,123,2041,355
6,124,788,217
6,125,570,103
6,126,455,78
6,127,190,36
6,128,1112,197
6,129,342,58
6,130,110,19
7,1,582,127
7,2,337,55
7,3,337,55
7,4,272,49
7,5,913,151
7,6,913,151
7,8,556,95
7,9,574,102
7,10,480,78
7,11,480,78
7,12,990,172
7,13,165,29
7,14,530,86
7,15,0,0
7,16,415,69
7,17,938,157
7,18,1024,177
7,19,805,135
7,20,646,108
7,21,740,122
7,22,348,64
7,23,502,89
7,24,360,63
7,25,581,95
7,26,409,72
7,27,627,102
7,28,395,66
7,29,620,104
7,30,1009,171
7,31,378,66
7,32,896,149
7,33,791,131
7,34,555,91
7,35,470,83
7,36,1421,313
7,37,753,128
7,38,475,78
7,39,783,133
7,40,958,161
7,41,274,46
7,42,498,81
7,43,541,93
7,44,254,46
